nombre,rut,id_tipo,id_sucursal
Ejecutivo 1,99.001.000-1,3,3
Ejecutivo 2,99.002.000-2,3,1
Ejecutivo 3,99.003.000-3,1,27
Ejecutivo 4,99.004.000-4,3,5
Ejecutivo 5,99.005.000-5,3,10
Ejecutivo 6,99.006.000-6,2,7
Ejecutivo 7,99.007.000-7,1,26
Ejecutivo 8,99.008.000-8,2,9
Ejecutivo 9,99.009.000-9,2,28
Ejecutivo 10,99.010.000-0,2,7
Ejecutivo 11,99.011.000-1,2,9
Ejecutivo 12,99.012.000-2,2,8
Ejecutivo 13,99.013.000-3,2,12
Ejecutivo 14,99.014.000-4,2,2
Ejecutivo 15,99.015.000-5,1,1
Ejecutivo 16,99.016.000-6,3,16
Ejecutivo 17,99.017.000-7,2,23
Ejecutivo 18,99.018.000-8,2,23
Ejecutivo 19,99.019.000-9,2,30
Ejecutivo 20,99.020.000-0,2,24
Ejecutivo 21,99.021.000-1,2,5
Ejecutivo 22,99.022.000-2,2,3
Ejecutivo 23,99.023.000-3,3,12
Ejecutivo 24,99.024.000-4,3,8
Ejecutivo 25,99.025.000-5,2,22
Ejecutivo 26,99.026.000-6,3,27
Ejecutivo 27,99.027.000-7,1,3
Ejecutivo 28,99.028.000-8,2,1
Ejecutivo 29,99.029.000-9,1,3
Ejecutivo 30,99.030.000-0,1,5
Ejecutivo 31,99.031.000-1,2,15
Ejecutivo 32,99.032.000-2,3,14
Ejecutivo 33,99.033.000-3,1,3
Ejecutivo 34,99.034.000-4,2,1
Ejecutivo 35,99.035.000-5,1,5
Ejecutivo 36,99.036.000-6,1,26
Ejecutivo 37,99.037.000-7,1,23
Ejecutivo 38,99.038.000-8,1,14
Ejecutivo 39,99.039.000-9,3,7
Ejecutivo 40,99.040.000-0,1,27
Ejecutivo 41,99.041.000-1,1,9
Ejecutivo 42,99.042.000-2,1,15
Ejecutivo 43,99.043.000-3,3,15
Ejecutivo 44,99.044.000-4,1,26
Ejecutivo 45,99.045.000-5,1,10
Ejecutivo 46,99.046.000-6,3,28
Ejecutivo 47,99.047.000-7,3,13
Ejecutivo 48,99.048.000-8,3,19
Ejecutivo 49,99.049.000-9,1,7
Ejecutivo 50,99.050.000-0,3,17
